id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
6329,CEO14-0000001-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,05/01/2018 00:00:00,05/01/2019 00:00:00,,Local Expo Services Inc.,Local Sesh,Devin Weller,Corporation,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Info@localsesh.Com,(619) 241-0006,Data Not Available,,
2825,CEO14-0000002-LIC,Active,Annual,Commercial -  Event Organizer,Data Not Available,02/19/2019 00:00:00,02/19/2027 00:00:00,,Cltv8 LLC,Data Not Available,"Aaron  Levant, Daniel Diamantstein",Limited Liability Company,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Info@hallofflowers.Com,(323) 539-8393,Data Not Available,,
2826,CEO14-0000003-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,02/22/2019 00:00:00,02/22/2020 00:00:00,,Mikel Alvarez,Data Not Available,Mikel Alvarez,Sole Proprietorship,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Mikel@cabazon.Net,(702) 985-7097,Data Not Available,,
2827,CEO14-0000004-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,03/04/2019 00:00:00,03/03/2025 00:00:00,,Hc Mega Corp,Mega Show,Edwin Kwong,Corporation,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Megaedwin28@gmail.Com,(626) 961-6522,Data Not Available,,
2828,CEO14-0000005-LIC,Active,Annual,Commercial -  Event Organizer,Data Not Available,05/11/2018 00:00:00,05/11/2026 00:00:00,,"Vaportent Lounges, LLC",Data Not Available,Fernando Alvarez,Limited Liability Company,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Fernando@vaportent.Com,(408) 569-9052,Data Not Available,,
2829,CEO14-0000006-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,07/17/2018 00:00:00,07/17/2020 00:00:00,,"Regulated Solutions, LLC",Data Not Available,Frederic DeHon,Data Not Available,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Ted@regulatedsolutions.Com,(561) 624-2001,Data Not Available,,
2830,CEO14-0000007-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,04/04/2019 00:00:00,04/03/2020 00:00:00,,Sounds Bazaar LLC,Data Not Available,"Alexis Aquino, Anna Belda",Limited Liability Company,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Soundsbazaarsf@gmail.Com,(916) 467-4849,Data Not Available,,
2831,CEO14-0000008-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,09/07/2018 00:00:00,09/07/2023 00:00:00,,"Dar Vida, Inc",Data Not Available,Dan Perez,Corporation,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Dperezgis@yahoo.Com,(562) 801-3125,Data Not Available,,
2832,CEO14-0000009-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,10/23/2018 00:00:00,10/23/2020 00:00:00,,"The Honey Flower Collective, Inc.",Data Not Available,Joshua Caruso,Corporation,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Thehoneyflowercollective@gmail.Com,(858) 267-7283,Data Not Available,,
2833,CEO14-0000010-LIC,Expired,Annual,Commercial -  Event Organizer,Data Not Available,11/16/2018 00:00:00,11/16/2024 00:00:00,,Haboob Inc.,Haboob media,Randy Gourial,Corporation,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Haboobmedia@gmail.Com,(619) 201-6333,Data Not Available,,
2834,CEO14-0000011-LIC,Expired,Provisional,Commercial -  Event Organizer,Data Not Available,05/02/2019 00:00:00,05/01/2020 00:00:00,,"High Times Productions, Inc.",Data Not Available,"Adam Levin, Colin Conway, David Newberg",Corporation,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Info@hightimes.Com,(844) 933-3287,Data Not Available,,
2835,CEO14-0000012-LIC,Expired,Provisional,Commercial -  Event Organizer,Data Not Available,01/22/2020 00:00:00,01/21/2021 00:00:00,,"Bob Barsotti, LLC.",Long Valley Events,"Bob Barsotti, Susan Barsotti",Limited Liability Company,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Barsotti@mcn.Org,(707) 272-3796,Data Not Available,,
2836,CEO14-0000013-LIC,Expired,Provisional,Commercial -  Event Organizer,Data Not Available,02/07/2020 00:00:00,02/06/2021 00:00:00,,Natural Healing Center,Data Not Available,Helios Dayspring,Limited Liability Company,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Nick@nhccalifornia.Com,(401) 714-8032,Data Not Available,,
