id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
3190,DCC-10001131,Expired,Annual,Manufacturer - Type N,Adult-Use and Medicinal,10/29/2018 00:00:00,10/29/2022 00:00:00,,"Lh Manufacturing, LLC",OM Edibles,"Andrew Silva, Brendan Hallinan, Maya Lapid",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Alameda,Data Not Available,Myomedibles@gmail.Com,(415) 404-8803,Data Not Available,,
3191,DCC-10001139,Surrendered,Annual,Manufacturer - Type N,Adult-Use and Medicinal,11/01/2018 00:00:00,09/08/2021 00:00:00,,"Humboldt Apothecary, Inc.",Humboldt Apothecary,"Gillian Levy, Susan Cleverdon",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Humboldt,Data Not Available,Humboldtapothecary@gmail.Com,(707) 407-7693,Data Not Available,,
3192,DCC-10001148,Expired,Annual,Manufacturer - Type 6,Adult-Use and Medicinal,11/06/2018 00:00:00,11/07/2022 00:00:00,,Abm Manufacturing,Project Make,"Andrew Mack, Denai Taylor, James Curtis, Joshua Kirby, Ronald Richards",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Contra Costa,Data Not Available,Abmack@projectyosemite.Net,(510) 374-6655,Data Not Available,,
3193,DCC-10001174,Expired,Annual,Manufacturer - Type 7,Adult-Use and Medicinal,11/13/2018 00:00:00,11/14/2024 00:00:00,,"G1 Perez, LLC","G1 Perez, LLC","Edlin Kim, James Kunevicius, Steven Gutterman",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Riverside,Data Not Available,Edlin719@gmail.Com,(949) 614-0099,Data Not Available,,
3194,DCC-10001194,Expired,Annual,Manufacturer - Type 7,Adult-Use and Medicinal,11/21/2018 00:00:00,11/22/2024 00:00:00,,Pure Ca LLC,Moxie,Jordan Lams,Limited Liability Company,Data Not Available,Not Published,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,(323) 834-2990,Data Not Available,,
3135,DCC-10001196,Active,Annual,Manufacturer - Type 6,Adult-Use and Medicinal,11/21/2018 00:00:00,11/22/2026 00:00:00,,"Proof Operations, Inc.","Proof Operations, Inc.","Julie Mercer-Ingram, Matthew Ingram, Sally Ingram, Sarah Miletich",Corporation,Data Not Available,Not Published,Data Not Available,CA,Sonoma,Data Not Available,Matthew@proofextracts.Com,(707) 757-9984,Data Not Available,,
3136,DCC-10001308,Surrendered,Annual,Manufacturer - Type 6,Adult-Use and Medicinal,12/31/2019 00:00:00,01/04/2021 00:00:00,,"Humboldt Private Reserve, Inc","Humboldt Private Reserve, Inc",Barron Lutz,Corporation,Data Not Available,Not Published,Data Not Available,CA,Humboldt,Data Not Available,Humboldt.Private.Reserve@gmail.Com,(707) 601-6238,Data Not Available,,
3137,DCC-10001347,Surrendered,Annual,Manufacturer - Type 6,Medicinal,12/11/2018 00:00:00,12/12/2025 00:00:00,,"Rbg Services, Inc.",Green Desert Growers,Raul Becerril,Corporation,Data Not Available,Not Published,Data Not Available,CA,San Bernardino,Data Not Available,405raul@gmail.Com,(310) 877-5698,Data Not Available,,
3138,DCC-10001352,Surrendered,Annual,Manufacturer - Type 6,Adult-Use and Medicinal,12/23/2019 00:00:00,12/11/2020 00:00:00,,"Fluids Manufacturing, Inc","Fluids Manufacturing, Mammoth Distribution","Matthew Martinez, Nikesh Patel, Robert Stevenson, Skyler Sutton, Stephan Sutton",Corporation,Data Not Available,Not Published,Data Not Available,CA,Mono,Data Not Available,Adam@mammoth.Org,(831) 291-3812,Data Not Available,,
3139,DCC-10001355,Expired,Annual,Manufacturer - Type 6,Adult-Use and Medicinal,12/12/2018 00:00:00,12/12/2022 00:00:00,,"Cura Ca, LLC",Data Not Available,"Andrey Blokh, Boris Jordan, Jaswinder Grover, Joseph Bayern, Joseph Lusardi, Karl Johansson, Matthew Darin, Mitchell Kahn, Peter Clateman, Peter Derby",Limited Liability Company,Data Not Available,Not Published,Data Not Available,CA,Sacramento,Data Not Available,Anne.Conn@curaleaf.Com,(510) 685-4544,Data Not Available,,
