id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
16153,C12-0000001-LIC,Expired,Provisional,Commercial -  Microbusiness,Adult-Use and Medicinal,04/10/2019 00:00:00,04/09/2024 00:00:00,,Cae Mgmt,RB26,"Charles Nichols, Ehud Lissauer, Jason Brown",Corporation,"Cultivator (less than 10K sq ft), Distributor, Level 1 Manufacturer",Not Published,Data Not Available,CA,Mendocino,Data Not Available,Ehud@lissauer.Net,(949) 214-8397,Data Not Available,,
16154,C12-0000002-LIC,Active,Annual,Commercial -  Microbusiness,Adult-Use and Medicinal,04/16/2019 00:00:00,04/15/2027 00:00:00,,"Tahoe Wellness Center, Inc. [Equity Retailer]",Data Not Available,Cody Bass,Corporation,"Retailer, Level 1 Manufacturer, Distributor, Cultivator (less than 10K sq ft)",3445 Lake Tahoe Blvd,S Lake Tahoe,CA,El Dorado,96150,Cody@tahoewellness.Com,(530) 544-8000,Data Not Available,38.94586202,-119.96538677
16155,C12-0000003-LIC,Active,Annual,Commercial -  Microbusiness,Adult-Use and Medicinal,04/22/2019 00:00:00,04/21/2027 00:00:00,,"All Done Management Group, Inc.",Packs South Los Angeles,Claudia Hernandez,Corporation,"Retailer, Distributor, Cultivator (less than 10K sq ft)",1900 64th St E,Huntington Park,CA,Los Angeles,90255,Claudia@alldonemgmt.Com,(323) 200-4504,Data Not Available,33.981031,-118.238552
16156,C12-0000004-LIC,Expired,Annual,Commercial -  Microbusiness,Adult-Use and Medicinal,04/25/2019 00:00:00,04/24/2025 00:00:00,,Jahnetics Delivery,JAHnetics Microbusiness,"Carson McCarty, Yiu Ming 	 Cheung, Yuan  Li",Corporation,"Cultivator (less than 10K sq ft), Level 1 Manufacturer, Distributor",Not Published,Data Not Available,CA,San Francisco,Data Not Available,Carsonjmccarty@gmail.Com,(415) 596-3315,Data Not Available,,
16157,C12-0000005-LIC,Expired,Provisional,Commercial -  Microbusiness,Adult-Use and Medicinal,04/29/2019 00:00:00,04/28/2024 00:00:00,,"Dose Of Wellness, Inc.","DOSE OF WELLNESS, INC.","Arutyun Keshishyan, Sarkis  Nikogosian",Corporation,"Distributor, Indoor, Level 1 Manufacturer, Cultivator (less than 10K sq ft)",Not Published,Data Not Available,CA,Los Angeles,Data Not Available,Doseofwellness1415@gmail.Com,(818) 266-1266,Data Not Available,,
16158,C12-0000006-LIC,Surrendered,Provisional,Commercial -  Microbusiness,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2022 00:00:00,,Jn Stock Inc.,Data Not Available,"Jason Foster, Neil Richardson",Corporation,"Level 1 Manufacturer, Distributor, Cultivator (less than 10K sq ft)",Not Published,Data Not Available,CA,Riverside,Data Not Available,Newporthold@gmail.Com,(707) 599-0418,Data Not Available,,
16159,C12-0000007-LIC,Expired,Annual,Commercial -  Microbusiness,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2025 00:00:00,,Breez Ca LLC,Breez CA LLC,"Anna Walters, Austin Hice",Limited Liability Company,"Retailer Non-Storefront, Distributor, Level 1 Manufacturer",Not Published,Data Not Available,CA,Alameda,Data Not Available,Austin@findbreez.Com,(303) 518-3510,Data Not Available,,
16160,C12-0000008-LIC,Active,Annual,Commercial -  Microbusiness,Adult-Use,05/07/2019 00:00:00,05/06/2026 00:00:00,,"Mystic Herbal Care, LLC",Mystic Herbal Care,"Felicia Shaw, Richard Ali",Limited Liability Company,"Retailer Non-Storefront, Level 1 Manufacturer, Distributor",Not Published,Data Not Available,CA,Alameda,Data Not Available,Feliciaoakland@aol.Com,(510) 689-6101,Data Not Available,,
8324,C12-0000009-LIC,Revoked,Provisional,Commercial -  Microbusiness,Adult-Use and Medicinal,05/07/2019 00:00:00,05/06/2025 00:00:00,,Holistic Alternative Inc. #57/D,HOLISTIC ALTERNATIVE INC. #57/D,"ARSEN KAZANCHIAN, Kevork Kazanchian, Onnik Kazanchian",Corporation,"Retailer, Cultivator (less than 10K sq ft), Level 1 Manufacturer, Distributor",18306 Eddy St W,Northridge,CA,Los Angeles,91325,Nickkaz420@gmail.Com,(818) 722-9333,Data Not Available,34.227171,-118.531952
8325,C12-0000010-LIC,Expired,Provisional,Commercial -  Microbusiness,Adult-Use and Medicinal,05/08/2019 00:00:00,05/07/2023 00:00:00,,United Health & Care Center,UHCC,"SANJIV PATEL, VIBHA PATEL",Corporation,"Retailer, Level 1 Manufacturer, Distributor","5925 Alameda St S, Unit B",Los Angeles,CA,Los Angeles,90001,Sanjivstarlight@gmail.Com,(951) 581-3739,Data Not Available,33.98724893,-118.23790801
