id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
13602,C10-0000001-LIC,Surrendered,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/02/2018 00:00:00,11/02/2020 00:00:00,,"Psgc, Inc.",Atomic Budz,"John Chaisson, Robert Wolter",Corporation,Data Not Available,"68415 Perez Rd, Suite A",Cathedral CTY,CA,Riverside,92234,Jeff@atomicbudz.Com,(760) 322-4481,Data Not Available,33.784464,-116.468354
13603,C10-0000002-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/03/2018 00:00:00,11/03/2025 00:00:00,,Monterey County Patients Group Incorporated,Cannabis Feels Good,Eric Thomas,Corporation,Data Not Available,1988 Broadway St,Vallejo,CA,Solano,94589,Mcpgmembership@gmail.Com,(707) 653-2043,Data Not Available,38.1403117,-122.2517583
13604,C10-0000003-LIC,Surrendered,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/06/2018 00:00:00,11/06/2024 00:00:00,,"Omega Group, Inc.",Dank Depot,Gayk Akhsharumov,Corporation,Data Not Available,"68031 Ramon Rd, Unit 103",Cathedral CTY,CA,Riverside,92234,Omegagroupcc@gmail.Com,(818) 281-7080,Data Not Available,33.81539472,-116.4748564
13605,C10-0000004-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use,11/08/2018 00:00:00,11/08/2022 00:00:00,,Leef Industries LLC,Trulieve,"Alexander  D'Amico, Giannella Alvarez, Jane Morreau, Kimberly Rivers, Kyle  Landrum, PETER HEALY, RAYMOND POWERS, Richard May, Susan Thronson, Thad Beshears, Thomas  Millner, Tim Morey",Limited Liability Company,Data Not Available,"3700 Vista Chino E, Unit D",Palm Springs,CA,Riverside,92262,Kortpotter@gmail.Com,(760) 832-9222,Data Not Available,33.845482,-116.505181
13606,C10-0000005-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/14/2018 00:00:00,11/14/2025 00:00:00,,"Dpc Sf, LLC",Dutchman's Flat,"Beth Thuna, Marcus  Thuna, Robert Watson",Limited Liability Company,Data Not Available,2544 3rd St,San Francisco,CA,San Francisco,94122,Rw@dutchmansflat.Com,(415) 203-6277,Data Not Available,37.75738154,-122.38835305
13607,C10-0000006-LIC,Surrendered,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 00:00:00,11/20/2020 00:00:00,,Freedom 1st Association,SKUNKMASTERS,Robert Tatum,Corporation,Data Not Available,"2675 N Ventura Rd, Suite 103",Port Hueneme,CA,Ventura,93041,Bob@vipermgt.Com,(630) 209-3432,Data Not Available,34.17816541,-119.19629683
13608,C10-0000007-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 00:00:00,11/20/2026 00:00:00,,"Blue Mountain Collective, Inc.","BLUE MOUNTAIN COLLECTIVE, INC.",Conrad Bonet,Corporation,Data Not Available,692 Marshall Ave,San Andreas,CA,Calaveras,95249,Conradbonet0710@gmail.Com,(209) 754-3289,Data Not Available,38.190253,-120.671625
13609,C10-0000008-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 00:00:00,11/20/2026 00:00:00,,"Creekside Wellness, Inc.",Data Not Available,Jeffery Angell,Corporation,Data Not Available,12603 Highway 9,Boulder Creek,CA,Santa Cruz,95006,Whereisjeff@gmail.Com,(801) 560-9466,Data Not Available,37.11720119,-122.120471
13610,C10-0000009-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,01/31/2019 00:00:00,01/31/2027 00:00:00,,Horizon Collective Inc.,1841 El Camino,"John Swanston, Sean Eaddy",Corporation,Data Not Available,1841 El Camino Ave,Sacramento,CA,Sacramento,95815,Horizoncollective@yahoo.Com,(916) 870-8067,Data Not Available,38.611463,-121.423635
13611,C10-0000010-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,03/19/2019 00:00:00,03/18/2027 00:00:00,,"Alternatives, A Health Collective","ALTERNATIVES, A HEALTH COLLECTIVE",KAREN KISSLER,Corporation,Data Not Available,1603 Hampton Way,Santa Rosa,CA,Sonoma,95407,Mskslr@comcast.Net,(415) 250-8888,Data Not Available,38.42820076,-122.73834729
13612,C10-0000011-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,03/28/2019 00:00:00,03/27/2022 00:00:00,,"My Golden Green, Inc.",The Humboldt County Collective,"Collin Hammans, JoAnn Hammans",Corporation,Data Not Available,"1670 Myrtle Ave, Suite B",Eureka,CA,Humboldt,95501,Goldengreen420@gmail.Com,(707) 442-2420,Data Not Available,40.79393,-124.136199
13613,C10-0000012-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/02/2019 00:00:00,04/01/2027 00:00:00,,"Us Bloom, Inc.",US Bloom,Nicholas Foster,Corporation,Data Not Available,1201 Springs Rd,Vallejo,CA,Solano,94591,Usbloom707@gmail.Com,(707) 561-0716,Data Not Available,38.105807,-122.227934
13614,C10-0000013-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,04/04/2019 00:00:00,04/03/2023 00:00:00,,Paula Deeter [Equity Retailer],Herban Legend [Equity Retailer],"Amy Deeter, Paula Deeter",Sole Proprietorship,Data Not Available,17875 Hwy One Hwy,Fort Bragg,CA,Mendocino,95437,Herbanlegend@live.Com,(707) 961-0113,Data Not Available,39.40355779,-123.8089373
13615,C10-0000014-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/04/2019 00:00:00,04/03/2024 00:00:00,,Hah Coalinga LLC,Have a Heart CC,"Adam  Levin, Jay Paul Henderon, Kevin Singer, Ryan Kunkel",Limited Liability Company,Data Not Available,286 5th St N,Coalinga,CA,Fresno,93210,Core@haveaheartcc.Com,(206) 889-0583,Data Not Available,36.140535,-120.360966
13616,C10-0000015-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,04/05/2019 00:00:00,04/04/2022 00:00:00,,Green Spirit Mendocino LLC,Data Not Available,"Christian Briggs, Harlan Ribnik, Leslie Ball, Tom Gingerich",Limited Liability Company,Data Not Available,138 Main St,Point Arena,CA,Mendocino,95468,Tom@greenspiritrx.Com,(214) 808-8649,Data Not Available,38.91163994,-123.69236995
13617,C10-0000016-LIC,Expired,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/09/2019 00:00:00,04/08/2025 00:00:00,,Mission Herbal Care Inc,THE COOKIE COMPANY,Arthur Vugelman,Corporation,Data Not Available,3139 Mission St,San Francisco,CA,San Francisco,94110,Arthurvugelman@yahoo.Com,(323) 309-9090,Data Not Available,37.74703693,-122.41874546
13618,C10-0000017-LIC,Expired,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,04/09/2019 00:00:00,04/08/2023 00:00:00,,Northeastern Management Inc,Herbal Cruz,John Hadayia,Corporation,Data Not Available,1051 41st Ave,Santa Cruz,CA,Santa Cruz,95062,Unitedoil@msn.Com,(617) 717-4453,Data Not Available,36.967183,-121.965197
